city,month-year,filings,renter_occ_HUs,filing_rate
Phoenix,22-Nov,4935,600091,0.82%
Phoenix,22-Dec,5236,600091,0.87%
Phoenix,23-Jan,7019,606114,1.16%
Phoenix,23-Feb,5803,606114,0.96%
Phoenix,23-Mar,5776,606114,0.95%
Phoenix,23-Apr,6318,606114,1.04%
Phoenix,23-May,6878,606114,1.13%
Phoenix,23-Jun,6949,606114,1.15%
Phoenix,23-Jul,7086,606114,1.17%
Phoenix,23-Aug,7674,606114,1.27%
Phoenix,23-Sep,7791,606114,1.29%
Phoenix,23-Oct,7924,606114,1.31%
Phoenix,23-Nov,6628,606114,1.09%
Phoenix,23-Dec,7061,606114,1.16%
Phoenix,24-Jan,7996,629455,1.27%
Phoenix,24-Feb,6872,629455,1.09%
Phoenix,24-Mar,6186,629455,0.98%
Phoenix,24-Apr,6771,629455,1.08%
Phoenix,24-May,7071,629455,1.12%
Phoenix,24-Jun,7213,629455,1.15%
Phoenix,24-Jul,7889,629455,1.25%
Phoenix,24-Aug,7935,629455,1.26%
Phoenix,24-Sep,7521,629455,1.19%
Phoenix,24-Oct,7669,629455,1.22%
Phoenix,24-Nov,6495,629455,1.03%
Phoenix,24-Dec,7328,629455,1.16%
Phoenix,25-Jan,7591,629455,1.21%
Phoenix,25-Feb,7059,629455,1.12%
Phoenix,25-Mar,5974,629455,0.95%
Phoenix,25-Apr,6316,629455,1.00%
Phoenix,25-May,7064,629455,1.12%
Phoenix,25-Jun,7015,629455,1.11%
Phoenix,25-Jul,7242,629455,1.15%
Phoenix,25-Aug,7542,629455,1.20%
Phoenix,25-Sep,7293,629455,1.16%
Phoenix,25-Oct,7569,629455,1.20%
Phoenix,25-Nov,6833,629455,1.09%
Phoenix,25-Dec,7104,629455,1.13%
Phoenix,26-Jan,7665,629455,1.22%
Phoenix,26-Feb,6466,629455,1.03%
